assessment_date	point_code	type	is_present	no_habitat	assessment_source	inaccessible	not_measurable	change_location	db_ref
16190	10774_1	63	0	1	field assessment	NA	NA	0	NA
16190	1246865_1	64	0	1	field assessment	NA	NA	0	NA
16190	290098_1	63	NA	NA	NA	long term	NA	0	NA
16190	29202_1	63	0	NA	field assessment	NA	NA	0	NA
16190	31401_1	63	0	1	field assessment	NA	NA	0	NA
16190	35113_1	63	0	1	field assessment	NA	NA	0	NA
16190	35361_1	63	0	1	field assessment	NA	NA	0	NA
16190	377522_1	65	0	1	field assessment	NA	NA	0	NA
16190	390801_1	64	0	1	field assessment	NA	NA	0	NA
16190	915089_1	64	0	1	field assessment	NA	NA	0	NA
16190	988817_1	64	0	1	field assessment	NA	NA	0	NA
16197	3564894_1	66	0	1	field assessment	NA	NA	0	NA
16209	127218_1	63	0	1	field assessment	NA	NA	0	NA
16209	127218_2	63	1	0	field assessment	NA	NA	1	NA
16209	143602_1	63	0	1	field assessment	NA	NA	1	NA
16209	143602_2	63	0	1	field assessment	NA	NA	1	NA
16209	311282_1	63	0	1	field assessment	NA	NA	0	NA
16209	442354_1	63	0	NA	field assessment	NA	NA	0	NA
16209	6962_1	63	0	NA	NA	NA	long term	0	NA
16210	208134_1	63	0	1	field assessment	NA	NA	0	NA
16210	223570_1	63	0	NA	field assessment	NA	NA	0	NA
16210	430713_1	63	0	1	field assessment	NA	NA	0	NA
16210	572934_1	63	0	1	field assessment	NA	NA	0	NA
16210	659794_1	63	0	1	field assessment	NA	NA	0	NA
16210	659794_2	63	1	0	field assessment	NA	NA	1	NA
16211	121734_1	63	0	1	field assessment	NA	NA	0	NA
16211	162898_1	63	0	NA	field assessment	NA	NA	0	NA
16211	53126_1	63	0	1	field assessment	NA	NA	0	NA
16211	549254_1	63	0	1	field assessment	NA	NA	0	NA
16211	585810_1	63	0	NA	field assessment	NA	NA	0	NA
16212	150962_1	65	0	NA	field assessment	NA	NA	0	NA
16212	1714306_1	65	0	1	field assessment	NA	NA	0	NA
16212	1835906_1	65	0	1	field assessment	NA	NA	0	NA
16212	1985970_1	65	0	1	field assessment	NA	NA	0	NA
16212	2114226_1	65	0	1	field assessment	NA	NA	0	NA
16212	243846_1	63	0	1	field assessment	NA	NA	0	NA
16212	243846_2	63	1	0	field assessment	NA	NA	1	NA
16212	2867990_1	66	1	0	field assessment	NA	NA	0	NA
16212	308098_1	65	0	1	field assessment	NA	NA	0	NA
16212	308098_2	65	1	0	field assessment	NA	NA	1	NA
16212	37798_1	63	0	1	field assessment	NA	NA	0	NA
16212	381350_1	63	0	1	field assessment	NA	NA	0	NA
16212	381350_2	63	0	1	field assessment	NA	NA	1	NA
16212	62697_1	63	0	NA	field assessment	NA	NA	0	NA
16213	1569666_1	65	0	1	field assessment	NA	NA	0	NA
16213	1569666_2	65	1	0	field assessment	NA	NA	1	NA
16213	162790_1	63	0	1	field assessment	NA	NA	0	NA
16213	162790_2	63	1	0	field assessment	NA	NA	1	NA
16213	556006_1	63	0	1	field assessment	NA	NA	0	NA
16213	556006_2	63	1	0	field assessment	NA	NA	1	NA
16213	67161_1	63	0	1	field assessment	NA	NA	0	NA
16213	67161_2	63	0	1	field assessment	NA	NA	1	NA
16217	1280278_1	66	0	1	field assessment	NA	NA	0	NA
16217	1280278_2	66	1	0	field assessment	NA	NA	1	NA
16217	231702_1	66	1	0	field assessment	NA	NA	1	NA
16217	2328854_1	66	0	1	field assessment	NA	NA	0	NA
16217	2328854_2	66	1	0	field assessment	NA	NA	1	NA
16217	28902_1	63	0	1	field assessment	NA	NA	0	NA
16217	409654_1	63	0	1	field assessment	NA	NA	0	NA
