"recording_givid";"survery";"user_reference";"area";"vague_date_begin";"vague_date_end"
"IV2017010510420097";"N2000meetnet_Grasland";"842030";1017;"2016-06-27";"2016-06-27"
"IV2017010511152189";"N2000meetnet_Grasland";"842030";9;"2016-06-27";"2016-06-27"
"IV2017010511460749";"N2000meetnet_Grasland";"530734";1017;"2016-06-27";"2016-06-27"
"IV2017010512181008";"N2000meetnet_Grasland";"530734";9;"2016-06-27";"2016-06-27"
"IV2017010610523940";"N2000meetnet_Grasland";"455349";1017;"2015-08-03";"2015-08-03"
"IV2017010611111454";"N2000meetnet_Grasland";"423762";1017;"2016-08-17";"2016-08-17"
"IV2017010612064228";"N2000meetnet_Grasland";"455349";9;"2015-08-03";"2015-08-03"
"IV2017010612172361";"N2000meetnet_Grasland";"996353";1017;"2015-08-24";"2015-08-24"
"IV2017010612593713";"N2000meetnet_Grasland";"996353";9;"2015-08-24";"2015-08-24"
"IV2017010613221989";"N2000meetnet_Grasland";"423762";9;"2016-08-17";"2016-08-17"
"IV2017010613314127";"N2000meetnet_Grasland";"472065";1017;"2015-08-24";"2015-08-24"
"IV2017010613424129";"N2000meetnet_Grasland";"472065";9;"2015-08-24";"2015-08-24"
"IV2017010616345212";"N2000meetnet_Grasland";"1117877";1017;"2015-08-20";"2015-08-20"
"IV2017010616415877";"N2000meetnet_Grasland";"1117877";9;"2015-08-20";"2015-08-20"
"IV2017010616490548";"N2000meetnet_Grasland";"19510";1017;"2016-09-08";"2016-09-08"
"IV2017010616530182";"N2000meetnet_Grasland";"331445";1017;"2015-08-12";"2015-08-12"
"IV2017010617002129";"N2000meetnet_Grasland";"331445";9;"2015-08-12";"2015-08-12"
"IV2017010617095027";"N2000meetnet_Grasland";"736949";1017;"2015-08-12";"2015-08-12"
"IV2017010617191621";"N2000meetnet_Grasland";"736949";9;"2015-08-12";"2015-08-12"
"IV2017010617282387";"N2000meetnet_Grasland";"212661";1017;"2015-08-13";"2015-08-13"
"IV2017010617362713";"N2000meetnet_Grasland";"212661";9;"2015-08-13";"2015-08-13"
"IV2017010617430082";"N2000meetnet_Grasland";"801793";1017;"2015-08-19";"2015-08-19"
"IV2017010617551993";"N2000meetnet_Grasland";"19510";NA;"2016-09-08";"2016-09-08"
"IV2017010618013747";"N2000meetnet_Grasland";"801793";9;"2015-08-19";"2015-08-19"
"IV2017010618124978";"N2000meetnet_Grasland";"540341";1017;"2015-08-14";"2015-08-14"
"IV2017010618211064";"N2000meetnet_Grasland";"540341";9;"2015-08-14";"2015-08-14"
"IV2017010618292802";"N2000meetnet_Grasland";"1195701";1017;"2015-08-13";"2015-08-13"
"IV2017010618363706";"N2000meetnet_Grasland";"1195701";9;"2015-08-13";"2015-08-13"
"IV2017010618405531";"N2000meetnet_Grasland";"409269";1017;"2015-08-14";"2015-08-14"
"IV2017010618503780";"N2000meetnet_Grasland";"409269";9;"2015-08-14";"2015-08-14"
"IV2017010910225147";"N2000meetnet_Grasland";"500782";1017;"2015-05-27";"2015-05-27"
"IV2017010910241756";"N2000meetnet_Grasland";"500782";9;"2015-05-27";"2015-05-27"
